,id_unico,Rubro,Grado,Ciclo,Grupo,Sexo,Relacion,Edad,CR_Total dias ingreso,Primera_conexion_CREA,Dias_de_conexion_dispositivo,Primera_conexion_dispositivo,id_centro
2004,1013470,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,41.0,2024-03-20,,,142
2137,1013581,DGES,7,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,13,4.0,2024-05-03,,,155
2202,1013636,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,15,63.0,2024-03-19,,,37
2203,1013637,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,15,50.0,2024-03-19,,,37
2204,1013638,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,15,70.0,2024-03-15,,,37
2205,1013639,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,38.0,2024-03-20,,,37
2206,1013640,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,45.0,2024-03-20,,,37
2207,1013641,DGES,9,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,15,22.0,2024-03-20,,,37
2208,1013642,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,106.0,2024-03-19,,,37
2211,1013644,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,48.0,2024-03-20,,,37
3783,1015055,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,15,32.0,2024-09-11,,,139
3784,1015056,DGES,8,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,13,0.0,,59.0,2024-10-24,201
4698,1015932,DGES,7,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,16,1.0,2024-09-27,,,26
5943,1017137,DGES,7,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,16,,,,,16
8166,1019234,DGES,7,3er. CICLO EBI,DESCONOCIDO,M,Estudiante,14,,,,,91
9638,1020510,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,18,,,,,186
21673,1031696,DGES,9,3er. CICLO EBI,DESCONOCIDO,F,Estudiante,16,18.0,2024-04-05,,,149
